Body,Head,Head Coverage,Standard Confidence,Pca Confidence,Support,Body Size,Pca Body Size,Functional Variable
?a  hasStage  IVA   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.5,0.5,33,66,66,?a
?a  patientDrug  Atezolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.571429,0.571429,44,77,77,?a
?a  patientDrug  Nivolumab   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.625,0.625,55,88,88,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.333333,0.333333,33,99,99,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.214286,0.214286,33,154,154,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.555556,0.555556,55,99,99,?a
?a  hasGender  Female   ,?a  hasSmokingHabit  FormerSmoker,0.275862,0.5,0.5,88,176,176,?a
?a  patientDrug  Carboplatin   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.294118,0.294118,55,187,187,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.5,0.5,44,88,88,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.333333,0.333333,44,132,132,?a
?a  hasAgeCategory  Old   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.384615,0.384615,55,143,143,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasSmokingHabit  FormerSmoker,0.275862,0.5,0.5,88,176,176,?a
?a  patientDrug  Cisplatin   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.363636,0.363636,44,121,121,?a
?a  hasAgeCategory  Young   ,?a  hasSmokingHabit  FormerSmoker,0.206897,0.375,0.375,66,176,176,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.25,0.25,55,220,220,?a
?a  patientDrug  Pembrolizumab   ,?a  hasSmokingHabit  FormerSmoker,0.137931,0.307692,0.307692,44,143,143,?a
?a  patientDrug  Paclitaxel   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.333333,0.333333,33,99,99,?a
?a  patientDrug  Pemetrexed   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.411765,0.411765,77,187,187,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Young,0.344828,0.588235,0.588235,110,187,187,?a
?a  hasStage  IV   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.625,0.625,55,88,88,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasSmokingHabit  FormerSmoker,0.172414,0.294118,0.294118,55,187,187,?a
?a  patientDrug  Docetaxel   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.375,0.375,33,88,88,?a
?a  treatmentType  Immunotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.344828,0.384615,0.384615,110,286,286,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasSmokingHabit  FormerSmoker,0.241379,0.304348,0.304348,77,253,253,?a
?a  type  Patient   ,?a  hasSmokingHabit  FormerSmoker,0.37931,0.37931,0.37931,121,319,319,?a
?a  hasRelapse_Progression  Progression   ,?a  hasSmokingHabit  FormerSmoker,0.344828,0.4,0.4,110,275,275,?a
?a  patientDrug  Docetaxel   ,?a  hasAgeCategory  Young,0.206897,0.75,0.75,66,88,88,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasAgeCategory  Young,0.310345,0.5625,0.5625,99,176,176,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasAgeCategory  Young,0.241379,0.583333,0.583333,77,132,132,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Young,0.310345,0.642857,0.642857,99,154,154,?a
?a  hasGender  Male   ,?a  hasSmokingHabit  FormerSmoker,0.103448,0.230769,0.230769,33,143,143,?a
?a  hasBiomarker  ALK_Negative   ,?a  hasAgeCategory  Young,0.344828,0.5,0.5,110,220,220,?a
?a  patientDrug  Pemetrexed   ,?a  hasAgeCategory  Young,0.310345,0.529412,0.529412,99,187,187,?a
?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Young,0.241379,0.636364,0.636364,77,121,121,?a
?a  hasRelapse_Progression  Progression   ,?a  hasAgeCategory  Young,0.482759,0.56,0.56,154,275,275,?a
?a  treatmentType  Intravenous_Chemotherapy   ,?a  hasAgeCategory  Young,0.413793,0.521739,0.521739,132,253,253,?a
?a  patientDrug  Pembrolizumab   ,?a  hasAgeCategory  Young,0.275862,0.615385,0.615385,88,143,143,?a
?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Young,0.137931,0.444444,0.444444,44,99,99,?a
?a  treatmentType  Molecular_Targeted_Therapy   ,?a  hasAgeCategory  Young,0.241379,0.875,0.875,77,88,88,?a
?a  treatmentType  Radiotherapy_To_Lung   ,?a  hasAgeCategory  Young,0.137931,0.444444,0.444444,44,99,99,?a
?a  hasSmokingHabit  CurrentSmoker   ,?a  hasAgeCategory  Young,0.275862,0.533333,0.533333,88,165,165,?a
?a  treatmentType  Whole_Brain_Radiation_Therapy   ,?a  hasAgeCategory  Young,0.275862,0.888889,0.888889,88,99,99,?a
?a  hasGender  Male   ,?a  hasAgeCategory  Young,0.172414,0.384615,0.384615,55,143,143,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Young,0.206897,0.545455,0.545455,66,121,121,?a
?a  hasStage  IVB   ,?a  hasAgeCategory  Young,0.241379,0.777778,0.777778,77,99,99,?a
?a  treatmentType  Immunotherapy   ,?a  hasAgeCategory  Young,0.448276,0.5,0.5,143,286,286,?a
?a  treatmentType  Radiotherapy_To_Bone   ,?a  hasAgeCategory  Young,0.241379,0.583333,0.583333,77,132,132,?a
?a  patientDrug  Carboplatin   ,?a  hasAgeCategory  Young,0.241379,0.411765,0.411765,77,187,187,?a
?a  type  Patient   ,?a  hasAgeCategory  Young,0.551724,0.551724,0.551724,176,319,319,?a
?a  hasBiomarker  PDL1_Positive   ,?a  hasAgeCategory  Old,0.172414,0.357143,0.357143,55,154,154,?a
?a  hasBiomarker  EGFR_Negative   ,?a  hasAgeCategory  Old,0.172414,0.416667,0.416667,55,132,132,?a
?a  hasBiomarker  EGFR_Positive   ,?a  hasAgeCategory  Old,0.241379,0.4375,0.4375,77,176,176,?a
?a  patientDrug  Paclitaxel   ,?a  hasAgeCategory  Old,0.172414,0.555556,0.555556,55,99,99,?a
?a  treatmentType  Thoracoscopy   ,?a  hasAgeCategory  Old,0.103448,1,1,33,33,33,?a
?a  hasGender  Female   ,?a  hasAgeCategory  Young,0.37931,0.6875,0.6875,121,176,176,?a
?a  hasSmokingHabit  FormerSmoker   ,?a  hasAgeCategory  Old,0.172414,0.454545,0.454545,55,121,121,?a
?a  hasBiomarker  ROS1_Negative   ,?a  hasAgeCategory  Old,0.241379,0.411765,0.411765,77,187,187,?a
?a  patientDrug  Cisplatin   ,?a  hasAgeCategory  Old,0.137931,0.363636,0.363636,44,121,121,?a
